AAF,1
AAT,9
ABE,19
ABI,17
ABQ,18
ABR,5
ABY,16
ACT,7
ACV,9
ACY,19
ADQ,3
AEX,13
AFW,17
AGS,16
AHN,16
AIA,11
AIG,20
AJO,14
AKN,3
AKO,11
ALB,19
ALI,4
ALM,10
ALO,5
ALS,18
ALW,6
AMA,10
AMG,16
AMW,5
ANB,16
ANC,3
AND,16
ANJ,20
ANN,6
AOH,20
AOO,2
APA,11
APC,9
APF,1
APN,20
AQO,4
ARA,13
ARM,7
ART,19
ASE,18
AST,6
ATL,16
ATS,10
ATW,20
ATY,5
AUG,19
AUH,11
AUM,5
AUO,16
AUS,4
AUW,20
AVL,16
AVP,19
AXN,5
AZO,20
BAZ,4
BBW,11
BDL,19
BDR,19
BDU,11
BEH,20
BET,3
BFD,2
BFF,11
BFL,14
BGD,10
BGM,19
BGR,19
BHK,11
BHM,16
BIH,14
BIL,15
BIS,11
BIV,20
BKE,6
BKW,2
BLF,2
BLH,14
BLI,6
BMG,20
BMI,20
BMQ,4
BNA,16
BNO,6
BOI,6
BOS,19
BPG,10
BPI,15
BPK,8
BPT,7
BRL,8
BRO,4
BRW,3
BTL,20
BTM,15
BTR,13
BTT,3
BTV,19
BUF,2
BUR,14
BVO,17
BVX,8
BWG,16
BWI,2
BYG,15
BYI,15
BYY,7
BZN,15
CAE,16
CAG,15
CAK,2
CAO,10
CAR,19
CCA,8
CCR,9
CCY,5
CDB,3
CDC,18
CDR,11
CDS,17
CEC,9
CEZ,18
CGI,8
CGZ,18
CHA,16
CHO,2
CHS,16
CID,5
CKV,16
CLE,2
CLL,7
CLT,16
CMA,14
CMH,2
CMI,20
CMY,5
CNK,11
CNM,10
CNO,14
CNU,8
CNY,18
COD,15
CON,19
COS,11
COT,4
COU,8
CPR,15
CPS,8
CPT,17
CRE,2
CRG,1
CRP,4
CRQ,14
CRS,7
CRW,2
CSG,16
CSM,17
CSV,16
CTB,15
CTY,1
CUB,16
CUT,11
CVG,20
CXO,7
CYS,11
DAB,1
DAG,14
DAL,17
DAN,2
DAY,20
DBQ,5
DCA,2
DCU,16
DDC,11
DDH,19
DEC,20
