RKP,4
RKS,15
RMG,16
RNM,14
RNO,9
ROA,2
ROC,19
ROW,10
RPH,17
RQE,18
RRL,20
RST,5
RUE,8
RUT,19
RVS,17
RWF,5
RWL,15
RXE,15
RYW,4
SAC,9
SAD,18
SAN,14
SAT,4
SAV,16
SBA,14
SBM,20
SBN,20
SBP,14
SBY,2
SCK,9
SDF,16
SDL,18
SDM,14
SEA,6
SEP,17
SET,8
SFB,1
SFF,6
SFO,9
SGF,8
SGR,7
SGT,13
SHR,15
SHV,7
SIY,9
SJC,9
SJN,18
SJT,4
SLC,15
SLE,6
SLK,19
SLN,17
SMO,14
SMX,14
SNA,14
SNK,10
SNP,3
SNS,9
SNY,11
SPB,6
SPG,1
SPI,8
SPS,17
SRC,13
SRQ,1
SRR,10
SSF,4
SSI,1
STC,5
STE,20
STJ,8
STL,8
STP,5
STS,9
SUE,20
SUS,8
SUX,5
SVC,18
SWO,17
SYR,19
TAD,10
TCL,13
TCS,18
TKI,17
TLH,1
TMB,1
TOI,16
TOL,20
TOP,8
TOR,11
TPA,1
TPH,14
TPL,7
TQE,5
TRI,16
TRL,17
TRM,14
TTD,6
TTN,19
TUL,17
TUP,13
TUS,18
TVC,20
TVL,9
TVR,13
TWF,15
TXK,17
TYR,7
TYS,16
UAO,6
UIL,6
UIN,8
UKI,9
UNO,8
UTS,7
UVA,4
VCB,9
VCT,4
VEL,15
VGT,14
VIH,8
VLD,1
VPC,16
VRB,1
VSF,19
VTN,11
VUO,6
WAL,2
WJF,14
WMC,9
WRL,15
WVI,9
XBP,17
XNA,8
YAK,3
YKM,6
YNG,2
ZZV,2
